Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1983,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",444809,62.7
"FINAL",1983,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",75050,61.2
"FINAL",1983,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",48530,74.8
"FINAL",1983,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",344534,38
"FINAL",1983,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",7758,55.8
"FINAL",1983,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",45939,63.7
"FINAL",1983,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",6673,77.3
"FINAL",1983,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",9339,101.9
"FINAL",1983,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",32733,73.9
"FINAL",1983,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",2053,82.7
"FINAL",1983,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",16535,89.8
"FINAL",1983,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",3130,98
"FINAL",1983,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",41075,22.9
"FINAL",1983,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",1918,100.7
"FINAL",1983,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",4672,79.8
"FINAL",1983,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",3355,99.1
"FINAL",1983,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",131561,95.1
"FINAL",1983,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",13565,79.6
"FINAL",1983,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",4360,102.6
"FINAL",1983,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",10263,101.3
"FINAL",1983,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",25952,69.1
"FINAL",1984,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",51294,70.4
"FINAL",1984,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",168668,44.6
"FINAL",1984,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",46133,103.5
"FINAL",1984,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",74829,76
"FINAL",1984,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",1824,106.7
"FINAL",1984,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",38999,62
"FINAL",1984,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",97093,64.4
"FINAL",1984,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",70533,72.4
"FINAL",1984,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",21028,58.8
"FINAL",1984,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",524115,41.2
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",2832,101.4
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",137616,87.1
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",1018,103.4
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",218384,68.7
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",28869,68.8
"FINAL",1984,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",304284,80.2
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",10282,43.4
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",9803,41.5
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",809,39.8
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",99328,56.6
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",9443,64.4
"FINAL",1984,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",65779,84.4
"FINAL",1984,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",6641,101.2
"FINAL",1984,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",77036,95
"FINAL",1984,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",2910,101
"FINAL",1984,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",31334,103.5
"FINAL",1984,"SEPTEMBER/OCTOBER","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",1265,106.5
"FINAL",1985,"MARCH/APRIL","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",10942,64.5
"FINAL",1985,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",4620,26
"FINAL",1985,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",4183,105.2
"FINAL",1985,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",118164,63.6
"FINAL",1985,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",8858,99.5
"FINAL",1985,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",3003,75
"FINAL",1985,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",17736,74.3
"FINAL",1985,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)",33,39.3
"FINAL",1985,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",241685,56.1
"FINAL",1985,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",12927,100.4
"FINAL",1985,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",11452,102.1
"FINAL",1985,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",29230,98.2
"FINAL",1985,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",199,56.6
